DONG_CODE,CAR_SHR_NUM,SAFE_DLVR_NUM,ANI_HSPT_NUM,LEISURE_NUM,KIDS_NUM,GYM_NUM,GOLF_NUM,STARBUCKS_NUM,MC_NUM,NOISE_VIBRATION_NUM,PARK_NUM,COLIVING_NUM,MZ_POP_CNT,VEGAN_CNT,교통,교육,육아,치안,건강,편의시설
1111051500,0.38910505836575876,0.38910505836575876,0.7782101167315175,0.38910505836575876,0.0,0.0,0.0,0.1297016861219196,0.0,7321.400778210117,0.6485084306095978,0.0,1249.0272373540856,1.945525291828794,5.328145265888457,5.692607003891052,2.853437094682231,23.216601815823605,5.953307392996108,4.543450064850842
1111053000,4.065040650406504,0.0,0.8130081300813008,0.8130081300813008,0.0,14.634146341463415,2.4390243902439024,5.9620596205962055,0.0,18575.60975609756,2.168021680216802,0.8130081300813008,2234.959349593496,6.504065040650406,13.750677506775068,12.276422764227641,16.53116531165312,36.31436314363143,71.15447154471545,28.05420054200542
1111054000,0.6711409395973155,0.0,0.0,0.0,0.0,2.0134228187919465,0.0,0.6711409395973155,0.0,9471.140939597315,0.6711409395973155,0.0,459.06040268456377,4.026845637583893,7.818791946308725,1.0067114093959733,7.38255033557047,15.436241610738255,5.758389261744966,9.315436241610739
1111055000,2.202643171806167,0.0,1.3215859030837005,0.0,0.0,0.8810572687224669,0.8810572687224669,0.0,0.0,2664.31718061674,0.44052863436123346,0.0,1138.7665198237885,0.44052863436123346,3.819383259911895,9.030837004405287,2.202643171806167,18.94273127753304,2.0969162995594712,4.854625550660793
1111056000,0.0,0.0,0.0,0.0,0.0,0.5636978579481399,0.5636978579481399,0.11273957158962797,0.0,454.56595264938,0.0,0.0,518.2638105975198,0.22547914317925594,3.926719278466743,2.2130777903043968,1.1273957158962797,2.4802705749718155,2.047350620067644,1.3122886133032696
1111057000,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,5600.0,0.0,0.0,5061.111111111111,2.7777777777777777,13.416666666666668,43.88888888888889,36.111111111111114,36.111111111111114,26.944444444444443,9.38888888888889
1111058000,0.0,0.0,2.857142857142857,0.0,2.857142857142857,5.714285714285714,0.0,11.428571428571429,0.0,34560.0,0.0,0.0,8122.857142857143,2.857142857142857,38.25714285714286,40.57142857142857,102.85714285714286,28.571428571428573,102.28571428571428,22.914285714285715
1111060000,0.0,0.0,0.0,1.8518518518518516,0.0,1.8518518518518516,0.0,3.7037037037037033,0.0,14933.333333333332,0.0,0.0,1922.2222222222222,11.11111111111111,15.944444444444446,6.166666666666666,5.555555555555555,61.11111111111111,15.777777777777777,31.055555555555554
1111061500,7.659574468085106,0.0,0.0,1.702127659574468,0.425531914893617,4.25531914893617,2.127659574468085,5.673758865248227,0.425531914893617,23877.44680851064,0.7092198581560282,1.276595744680851,1008.5106382978723,11.27659574468085,21.55886524822695,31.765957446808507,29.929078014184395,36.45390070921986,81.98297872340424,38.23475177304964
1111063000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16800.0,0.0,0.0,3541.666666666667,1.6666666666666667,21.183333333333337,11.166666666666666,88.33333333333334,66.66666666666667,186.6,28.533333333333335
1111064000,8.974358974358974,0.0,0.0,0.0,0.0,3.846153846153846,1.282051282051282,5.128205128205128,1.282051282051282,7753.846153846153,2.564102564102564,0.0,4100.0,11.538461538461538,14.615384615384615,9.576923076923077,6.41025641025641,47.43589743589743,29.769230769230766,23.423076923076923
1111065000,1.7857142857142856,0.8928571428571428,0.8928571428571428,2.6785714285714284,0.0,4.4642857142857135,0.0,1.7857142857142856,0.8928571428571428,9899.999999999998,0.0,0.0,7728.5714285714275,5.803571428571428,8.875,27.214285714285708,24.999999999999996,66.07142857142857,38.73214285714285,22.41517857142857
1111067000,0.0,1.075268817204301,1.075268817204301,0.0,0.0,3.2258064516129035,1.075268817204301,0.0,1.075268817204301,2167.741935483871,0.0,0.0,5116.129032258064,2.150537634408602,17.666666666666668,13.68817204301075,31.18279569892473,44.086021505376344,65.59139784946237,18.043010752688172
1111068000,0.0,1.282051282051282,1.282051282051282,0.0,0.0,3.846153846153846,1.282051282051282,0.0,1.282051282051282,2584.6153846153843,0.0,0.0,10569.23076923077,2.564102564102564,10.333333333333334,16.320512820512818,37.179487179487175,52.56410256410256,78.2051282051282,21.512820512820515
1111069000,0.0,1.4492753623188404,1.4492753623188404,0.0,0.0,4.3478260869565215,1.4492753623188404,0.0,1.4492753623188404,2921.7391304347825,0.0,0.0,8382.608695652174,2.8985507246376807,15.72463768115942,18.449275362318836,42.028985507246375,59.42028985507246,88.40579710144927,24.318840579710145
1111070000,8.695652173913043,4.3478260869565215,4.3478260869565215,6.521739130434782,0.0,10.869565217391305,4.3478260869565215,2.1739130434782608,0.0,4382.608695652174,2.1739130434782608,4.3478260869565215,7308.695652173913,6.521739130434782,33.173913043478265,24.34782608695652,67.39130434782608,80.43478260869564,72.43478260869566,32.15217391304348
1111071000,5.714285714285714,2.857142857142857,2.857142857142857,4.285714285714286,0.0,7.142857142857143,2.857142857142857,1.4285714285714286,0.0,2880.0,1.4285714285714286,0.0,11994.285714285716,4.285714285714286,19.142857142857146,16.0,44.28571428571429,52.85714285714286,47.6,21.12857142857143
1114052000,8.947368421052632,0.0,0.0,0.0,0.0,6.842105263157895,3.1578947368421053,9.473684210526317,0.0,10600.0,0.0,3.1578947368421053,1150.5263157894738,23.157894736842106,26.10526315789474,8.310526315789472,32.10526315789474,86.31578947368422,78.62105263157895,52.8842105263158
